word,type
prickly,adjective
noted,adjective
elaborate,adjective
holistic,adjective
guttural,adjective
beloved,adjective
social,adjective
rigid,adjective
earnest,adjective
arctic,adjective
popular,adjective
unrealistic,adjective
considerate,adjective
daring,adjective
menacing,adjective
blank,adjective
everlasting,adjective
thunderous,adjective
oblong,adjective
inadequate,adjective
voluminous,adjective
curvy,adjective
bumpy,adjective
advanced,adjective
mandatory,adjective
flamboyant,adjective
rapid,adjective
resilient,adjective
safe,adjective
fierce,adjective
bitter,adjective
tremendous,adjective
authorized,adjective
expansive,adjective
edgy,adjective
therapeutic,adjective
miniature,adjective
fixed,adjective
wet,adjective
macabre,adjective
blind,adjective
muffled,adjective
gabby,adjective
illustrious,adjective
deep,adjective
perplexing,adjective
silent,adjective
immense,adjective
awful,adjective
clever,adjective
hopeful,adjective
upright,adjective
pompous,adjective
cruel,adjective
proud,adjective
regular,adjective
human,adjective
fluffy,adjective
effective,adjective
attentive,adjective
grateful,adjective
sculptural,adjective
slippery,adjective
colorless,adjective
aware,adjective
good,adjective
sarcastic,adjective
posh,adjective
whole,adjective
cultured,adjective
settled,adjective
cold,adjective
tattered,adjective
redolent,adjective
medical,adjective
nasty,adjective
temperamental,adjective
feverish,adjective
monthly,adjective
plush,adjective
immaculate,adjective
cluttered,adjective
annual,adjective
tricky,adjective
needy,adjective
conventional,adjective
fragrant,adjective
sensible,adjective
fruitful,adjective
sedate,adjective
next,adjective
scarce,adjective
weighty,adjective
vile,adjective
scintillating,adjective
hurt,adjective
sloppy,adjective
receptive,adjective
endless,adjective
candid,adjective
snarling,adjective
persistent,adjective
future,adjective
bowed,adjective
dapper,adjective
fading,adjective
reticent,adjective
major,adjective
white,adjective
shy,adjective
self-reliant,adjective
acclaimed,adjective
chilly,adjective
corrupt,adjective
humane,adjective
variable,adjective
piquant,adjective
yellow,adjective
thoughtless,adjective
gaunt,adjective
living,adjective
rash,adjective
composed,adjective
like,adjective
crushing,adjective
hollow,adjective
grotesque,adjective
old,adjective
dazzling,adjective
unworn,adjective
quixotic,adjective
avaricious,adjective
quiet,adjective
alienated,adjective
bad,adjective
vapid,adjective
faint,adjective
languid,adjective
mediocre,adjective
kindly,adjective
salient,adjective
chemical,adjective
ample,adjective
creative,adjective
obnoxious,adjective
practical,adjective
slender,adjective
topical,adjective
rough,adjective
majestic,adjective
unpleasant,adjective
nice,adjective
fretful,adjective
rebellious,adjective
temporary,adjective
false,adjective
federal,adjective
horrible,adjective
harsh,adjective
frightening,adjective
fearful,adjective
reflective,adjective
complete,adjective
unequaled,adjective
modest,adjective
circular,adjective
valiant,adjective
obese,adjective
quaint,adjective
wasteful,adjective
capital,adjective
boring,adjective
hedonistic,adjective
coordinated,adjective
toasty,adjective
victorious,adjective
back,adjective
productive,adjective
testy,adjective
apprehensive,adjective
blushing,adjective
lumpy,adjective
warmhearted,adjective
nocturnal,adjective
thorny,adjective
luminous,adjective
assured,adjective
cut,adjective
famed,adjective
leisurely,adjective
upset,adjective
slimy,adjective
gifted,adjective
marvelous,adjective
vexing,adjective
antique,adjective
bony,adjective
tasteful,adjective
witty,adjective
vibrant,adjective
fresh,adjective
knotty,adjective
same,adjective
favorable,adjective
identical,adjective
efficacious,adjective
tranquil,adjective
gaudy,adjective
eloquent,adjective
confused,adjective
lovely,adjective
illiterate,adjective
reliable,adjective
scrawny,adjective
smoggy,adjective
unhappy,adjective
lacking,adjective
untrue,adjective
caring,adjective
remarkable,adjective
good-natured,adjective
tactful,adjective
tense,adjective
motherly,adjective
fabulous,adjective
rugged,adjective
plucky,adjective
visible,adjective
alive,adjective
anchored,adjective
brown,adjective
admirable,adjective
fluttering,adjective
pristine,adjective
wealthy,adjective
sorrowful,adjective
bubbly,adjective
gregarious,adjective
logical,adjective
resolute,adjective
manageable,adjective
wandering,adjective
verdant,adjective
mortified,adjective
humble,adjective
honorable,adjective
poignant,adjective
broad,adjective
mixed,adjective
wee,adjective
blissful,adjective
freezing,adjective
impractical,adjective
violet,adjective
heroic,adjective
ecstatic,adjective
expert,adjective
secure,adjective
cool,adjective
tiresome,adjective
darling,adjective
magnificent,adjective
shiny,adjective
philosophical,adjective
valid,adjective
average,adjective
gauzy,adjective
responsible,adjective
envious,adjective
neighboring,adjective
panoramic,adjective
thankful,adjective
constant,adjective
forgetful,adjective
defensive,adjective
gusty,adjective
obedient,adjective
frequent,adjective
absolute,adjective
rumpled,adjective
bouncy,adjective
dependent,adjective
cumbersome,adjective
anxious,adjective
unruly,adjective
excitable,adjective
brave,adjective
poor,adjective
academic,adjective
effortless,adjective
fatal,adjective
voiceless,adjective
entire,adjective
flippant,adjective
busy,adjective
seamless,adjective
glaring,adjective
gracious,adjective
meticulous,adjective
fuzzy,adjective
alert,adjective
minty,adjective
belated,adjective
threadbare,adjective
green,adjective
harmonious,adjective
misguided,adjective
damp,adjective
melancholy,adjective
passionate,adjective
protective,adjective
unwise,adjective
giant,adjective
understated,adjective
apt,adjective
enchanting,adjective
metallic,adjective
open,adjective
heavenly,adjective
flaky,adjective
taut,adjective
wise,adjective
ultimate,adjective
united,adjective
typical,adjective
mindless,adjective
brilliant,adjective
energetic,adjective
likable,adjective
snoopy,adjective
sacred,adjective
secluded,adjective
sophisticated,adjective
generous,adjective
shimmering,adjective
tempting,adjective
seasonal,adjective
authentic,adjective
wary,adjective
crooked,adjective
vivacious,adjective
tiny,adjective
shocking,adjective
nippy,adjective
self-assured,adjective
artistic,adjective
healthy,adjective
joyous,adjective
haunting,adjective
precious,adjective
scratchy,adjective
stiff,adjective
imperative,adjective
adored,adjective
profound,adjective
fascinating,adjective
potent,adjective
courageous,adjective
thinkable,adjective
other,adjective
humorous,adjective
robust,adjective
lasting,adjective
frustrating,adjective
minor,adjective
hearty,adjective
rosy,adjective
definite,adjective
athletic,adjective
secret,adjective
straight,adjective
enormous,adjective
translucent,adjective
international,adjective
flawless,adjective
lonely,adjective
best,adjective
acceptable,adjective
creepy,adjective
every,adjective
guiltless,adjective
notable,adjective
realistic,adjective
tender,adjective
unkempt,adjective
awesome,adjective
bogus,adjective
prompt,adjective
proper,adjective
second,adjective
ashamed,adjective
prestigious,adjective
gray,adjective
roomy,adjective
beautiful,adjective
complex,adjective
moral,adjective
military,adjective
equable,adjective
neglected,adjective
tall,adjective
vivid,adjective
weekly,adjective
grey,adjective
altruistic,adjective
actual,adjective
noteworthy,adjective
gainful,adjective
recent,adjective
jaded,adjective
brisk,adjective
uniform,adjective
nutritious,adjective
rewarding,adjective
amusing,adjective
aching,adjective
palatable,adjective
favorite,adjective
kindhearted,adjective
bland,adjective
noisy,adjective
sincere,adjective
thrifty,adjective
ubiquitous,adjective
upbeat,adjective
fantastic,adjective
bold,adjective
frank,adjective
another,adjective
illegal,adjective
filthy,adjective
hesitant,adjective
maternal,adjective
sanguine,adjective
impulsive,adjective
nutty,adjective
decent,adjective
even,adjective
scrappy,adjective
biodegradable,adjective
repulsive,adjective
bustling,adjective
important,adjective
courteous,adjective
exalted,adjective
hilarious,adjective
impassioned,adjective
merry,adjective
hushed,adjective
active,adjective
lawful,adjective
colossal,adjective
serious,adjective
gigantic,adjective
deadly,adjective
angry,adjective
perceptive,adjective
sore,adjective
flashy,adjective
guarded,adjective
right,adjective
skilled,adjective
any,adjective
front,adjective
zealous,adjective
buzzing,adjective
fortunate,adjective
reverent,adjective
sharp,adjective
towering,adjective
red,adjective
melodic,adjective
glossy,adjective
scary,adjective
eclectic,adjective
wacky,adjective
ugly,adjective
parallel,adjective
historic,adjective
legal,adjective
manly,adjective
physical,adjective
glistening,adjective
silver,adjective
necessary,adjective
aggravating,adjective
reassuring,adjective
eager,adjective
angelic,adjective
immediate,adjective
masterful,adjective
frantic,adjective
tart,adjective
enthusiastic,adjective
embarrassed,adjective
warm,adjective
cloudy,adjective
fumbling,adjective
rhapsodic,adjective
wavy,adjective
unused,adjective
idle,adjective
gentle,adjective
futuristic,adjective
unsung,adjective
canine,adjective
finicky,adjective
wanting,adjective
mean,adjective
cooked,adjective
thick,adjective
faithful,adjective
better,adjective
fast,adjective
useful,adjective
peculiar,adjective
known,adjective
precise,adjective
corny,adjective
huge,adjective
gleeful,adjective
weary,adjective
misty,adjective
dear,adjective
evergreen,adjective
voracious,adjective
labored,adjective
mischievous,adjective
tentative,adjective
unfortunate,adjective
loving,adjective
frayed,adjective
elementary,adjective
honest,adjective
unfamiliar,adjective
ignorant,adjective
eminent,adjective
creamy,adjective
restrained,adjective
virtuous,adjective
thorough,adjective
serpentine,adjective
idealistic,adjective
jovial,adjective
compassionate,adjective
silly,adjective
few,adjective
vindictive,adjective
far,adjective
turbulent,adjective
volatile,adjective
learned,adjective
evil,adjective
regal,adjective
furtive,adjective
watchful,adjective
lying,adjective
proactive,adjective
masculine,adjective
affectionate,adjective
wan,adjective
bronze,adjective
probable,adjective
first,adjective
rhythmic,adjective
hungry,adjective
lucky,adjective
glorious,adjective
noxious,adjective
fallacious,adjective
sensual,adjective
agreeable,adjective
pacific,adjective
pessimistic,adjective
rubbery,adjective
priceless,adjective
nautical,adjective
measly,adjective
babyish,adjective
quirky,adjective
tenacious,adjective
unknown,adjective
efficient,adjective
nervous,adjective
jelly,adjective
second-hand,adjective
uncomfortable,adjective
grounded,adjective
resplendent,adjective
extravagant,adjective
glowing,adjective
bulky,adjective
slight,adjective
greedy,adjective
close,adjective
umbrageous,adjective
round,adjective
promising,adjective
sly,adjective
excited,adjective
mealy,adjective
rotund,adjective
frozen,adjective
concrete,adjective
full,adjective
unconscious,adjective
beneficial,adjective
encouraging,adjective
jittery,adjective
impossible,adjective
trivial,adjective
impeccable,adjective
funny,adjective
maddening,adjective
tough,adjective
cute,adjective
significant,adjective
jumpy,adjective
skeletal,adjective
careful,adjective
black,adjective
separate,adjective
comfortable,adjective
gripping,adjective
real,adjective
meager,adjective
cheerful,adjective
uptight,adjective
clean,adjective
naive,adjective
routine,adjective
ragged,adjective
astonishing,adjective
vast,adjective
exclusive,adjective
general,adjective
adorable,adjective
uncommon,adjective
able,adjective
attractive,adjective
judicious,adjective
loose,adjective
utilitarian,adjective
nonchalant,adjective
fetching,adjective
tedious,adjective
negative,adjective
gargantuan,adjective
genuine,adjective
brief,adjective
selective,adjective
tubby,adjective
gross,adjective
painstaking,adjective
different,adjective
fertile,adjective
accurate,adjective
imperfect,adjective
critical,adjective
smart,adjective
calculating,adjective
vigilant,adjective
momentous,adjective
mannerly,adjective
sniveling,adjective
grimy,adjective
watery,adjective
true,adjective
young,adjective
gaseous,adjective
querulous,adjective
elusive,adjective
grim,adjective
helpless,adjective
clueless,adjective
eerie,adjective
ruddy,adjective
seemly,adjective
prudent,adjective
anguished,adjective
weepy,adjective
bare,adjective
lopsided,adjective
gummy,adjective
massive,adjective
prosperous,adjective
violent,adjective
righteous,adjective
crazy,adjective
qualified,adjective
somber,adjective
possible,adjective
clear,adjective
materialistic,adjective
unique,adjective
hot,adjective
knowledgeable,adjective
savvy,adjective
fatherly,adjective
giving,adjective
maniacal,adjective
crowded,adjective
common,adjective
careless,adjective
impartial,adjective
terrific,adjective
vague,adjective
vicious,adjective
miserable,adjective
smooth,adjective
level,adjective
sure,adjective
foolish,adjective
responsive,adjective
blaring,adjective
heavy,adjective
unselfish,adjective
mystical,adjective
motionless,adjective
soft,adjective
cavernous,adjective
serene,adjective
bright,adjective
idyllic,adjective
utopian,adjective
defenseless,adjective
famous,adjective
alarmed,adjective
unwieldy,adjective
juicy,adjective
jubilant,adjective
trusting,adjective
exciting,adjective
bruised,adjective
mushy,adjective
burly,adjective
luxurious,adjective
ill,adjective
mighty,adjective
flimsy,adjective
lenient,adjective
baggy,adjective
murky,adjective
naughty,adjective
malicious,adjective
agile,adjective
sleek,adjective
sleepy,adjective
venomous,adjective
male,adjective
scholarly,adjective
unnatural,adjective
null,adjective
festive,adjective
tidy,adjective
soggy,adjective
cuddly,adjective
jumbled,adjective
frosty,adjective
flagrant,adjective
sociable,adjective
vain,adjective
kind,adjective
cheap,adjective
sweet,adjective
lofty,adjective
messy,adjective
joyful,adjective
buoyant,adjective
unsightly,adjective
mature,adjective
political,adjective
cylindrical,adjective
calm,adjective
past,adjective
appropriate,adjective
gullible,adjective
content,adjective
morose,adjective
